TeamName,EventsParticipated,MaleParticipants,FemaleParticipants,TotalParticipants,MalePercentage,FemalePercentage,UniqueDisciplines,ParticipatedInMixed
Bansley/Brandie,1,,1,1,,100.0,1,Yes
Liliana/Elsa,1,,1,1,,100.0,1,Yes
Lidy/Leila,1,,1,1,,100.0,1,Yes
Estonia,1,,1,1,,100.0,1,Yes
Mongolia,2,,1,2,,50.0,2,Yes
Dominican Rep.,3,,1,3,,33.33333333333333,3,Yes
Makokha/Khadambi,1,,1,1,,100.0,1,Yes
Sude/Borger,1,,1,1,,100.0,1,Yes
Gallay/Pereyra,1,,1,1,,100.0,1,Yes
Zambia,1,,1,1,,100.0,1,Yes
Claes/Sponcil,1,,1,1,,100.0,1,Yes
Ludwig/Kozuch,1,,1,1,,100.0,1,Yes
Ishii/Murakami,1,,1,1,,100.0,1,Yes
Agatha/Duda,1,,1,1,,100.0,1,Yes
April/Alix,1,,1,1,,100.0,1,Yes
Ana Patricia/Rebecca,1,,1,1,,100.0,1,Yes
Menegatti/Orsi Toth,1,,1,1,,100.0,1,Yes
Stam/Schoon,1,,1,1,,100.0,1,Yes
Rep. of Moldova,1,,,1,,,1,Yes
Malaysia,1,,,1,,,1,Yes
WANG Zhen / ZHANG Mo,1,,,1,,,1,Yes
SZUDI Adam / PERGEL Szandra,1,,,1,,,1,Yes
WONG Chun Ting / DOO Hoi Kem,1,,,1,,,1,Yes
PISTEJ Lubomir / BALAZOVA Barbora,1,,,1,,,1,Yes
CAMPOS Jorge / FONSECA Daniela,1,,,1,,,1,Yes
LEE Sangsu / JEON Jihee,1,,,1,,,1,Yes
FRANZISKA Patrick / SOLJA Petrissa,1,,,1,,,1,Yes
Bangladesh,1,,,1,,,1,Yes
Liechtenstein,1,,,1,,,1,Yes
ASSAR Omar / MESHREF Dina,1,,,1,,,1,Yes
ACHANTA Kamal / BATRA Manika,1,,,1,,,1,Yes
IONESCU Ovidiu / SZOCS Bernadette,1,,,1,,,1,Yes
HU Heming / TAPPER Melissa,1,,,1,,,1,Yes
Azerbaijan,1,,,1,,,1,Yes
MIZUTANI Jun / ITO Mima,1,,,1,,,1,Yes
LIN Yun Ju / CHENG I Ching,1,,,1,,,1,Yes
Uzbekistan,1,,,1,,,1,Yes
XU Xin / LIU Shiwen,1,,,1,,,1,Yes
Bulgaria,1,,,1,,,1,Yes
FEGERL Stefan / POLCANOVA Sofia,1,,,1,,,1,Yes
LEBESSON Emmanuel / YUAN Jia Nan,1,,,1,,,1,Yes
Vietnam,1,,,1,,,1,Yes
